Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-0.17,-0.22,-0.08,-0.15,-0.08,-0.2,-0.16,-0.08,-0.13,-0.22,-0.2,-0.16,-0.15,***,***,-0.1,-0.15,-0.18
1881,-0.18,-0.12,0.05,0.07,0.08,-0.17,0.02,-0.02,-0.14,-0.2,-0.17,-0.05,-0.07,-0.08,-0.15,0.07,-0.06,-0.17
1882,0.18,0.15,0.06,-0.14,-0.12,-0.21,-0.15,-0.06,-0.13,-0.22,-0.15,-0.35,-0.1,-0.07,0.09,-0.07,-0.14,-0.17
1883,-0.28,-0.35,-0.11,-0.17,-0.17,-0.06,-0.06,-0.13,-0.21,-0.11,-0.23,-0.1,-0.17,-0.19,-0.33,-0.15,-0.08,-0.18
1884,-0.12,-0.07,-0.36,-0.39,-0.33,-0.34,-0.32,-0.27,-0.26,-0.24,-0.32,-0.3,-0.27,-0.26,-0.1,-0.36,-0.31,-0.27
1885,-0.57,-0.32,-0.25,-0.41,-0.44,-0.42,-0.33,-0.3,-0.28,-0.23,-0.23,-0.09,-0.32,-0.34,-0.4,-0.37,-0.35,-0.24
1886,-0.43,-0.5,-0.42,-0.27,-0.23,-0.34,-0.17,-0.3,-0.23,-0.27,-0.26,-0.24,-0.31,-0.29,-0.34,-0.31,-0.27,-0.25
1887,-0.71,-0.56,-0.35,-0.34,-0.3,-0.24,-0.25,-0.35,-0.25,-0.35,-0.25,-0.32,-0.35,-0.35,-0.5,-0.33,-0.28,-0.28
1888,-0.33,-0.35,-0.41,-0.2,-0.21,-0.16,-0.1,-0.15,-0.11,0.02,0.04,-0.03,-0.17,-0.19,-0.34,-0.27,-0.14,-0.02
1889,-0.08,0.17,0.07,0.1,0,-0.09,-0.07,-0.19,-0.23,-0.25,-0.32,-0.28,-0.1,-0.08,0.02,0.06,-0.12,-0.27
1890,-0.41,-0.44,-0.39,-0.29,-0.38,-0.24,-0.27,-0.38,-0.36,-0.24,-0.42,-0.3,-0.34,-0.34,-0.37,-0.35,-0.3,-0.34
1891,-0.33,-0.46,-0.17,-0.27,-0.16,-0.2,-0.17,-0.17,-0.15,-0.21,-0.3,-0.04,-0.22,-0.24,-0.36,-0.2,-0.18,-0.22
1892,-0.28,-0.1,-0.4,-0.33,-0.23,-0.22,-0.31,-0.27,-0.16,-0.14,-0.41,-0.37,-0.27,-0.24,-0.14,-0.32,-0.27,-0.23
1893,-0.8,-0.56,-0.22,-0.26,-0.33,-0.25,-0.13,-0.24,-0.21,-0.18,-0.18,-0.31,-0.31,-0.31,-0.58,-0.27,-0.21,-0.19
1894,-0.51,-0.28,-0.22,-0.44,-0.3,-0.4,-0.23,-0.23,-0.27,-0.22,-0.25,-0.2,-0.29,-0.3,-0.37,-0.32,-0.28,-0.25
1895,-0.4,-0.42,-0.32,-0.21,-0.26,-0.2,-0.16,-0.16,-0.12,-0.1,-0.16,-0.13,-0.22,-0.23,-0.34,-0.26,-0.18,-0.13
1896,-0.21,-0.12,-0.26,-0.3,-0.15,-0.11,-0.02,-0.05,-0.06,0.07,-0.04,-0.04,-0.11,-0.11,-0.15,-0.23,-0.06,-0.01
1897,-0.14,-0.16,-0.13,-0.02,-0.01,-0.11,-0.02,-0.09,-0.08,-0.12,-0.17,-0.19,-0.1,-0.09,-0.11,-0.05,-0.07,-0.12
1898,-0.01,-0.29,-0.51,-0.3,-0.3,-0.19,-0.21,-0.26,-0.21,-0.34,-0.38,-0.23,-0.27,-0.27,-0.17,-0.37,-0.22,-0.31
1899,-0.16,-0.38,-0.36,-0.2,-0.22,-0.31,-0.16,-0.08,-0.05,-0.04,0.13,-0.26,-0.17,-0.17,-0.26,-0.26,-0.18,0.01
1900,-0.35,-0.05,0,-0.08,-0.09,-0.09,-0.13,-0.09,-0.05,0.1,-0.06,-0.07,-0.08,-0.1,-0.22,-0.06,-0.1,-0.01
1901,-0.21,-0.11,0.06,-0.02,-0.15,-0.12,-0.14,-0.2,-0.22,-0.29,-0.17,-0.27,-0.15,-0.14,-0.13,-0.04,-0.15,-0.23
1902,-0.17,-0.06,-0.28,-0.28,-0.32,-0.3,-0.28,-0.29,-0.29,-0.28,-0.35,-0.41,-0.28,-0.26,-0.17,-0.29,-0.29,-0.31
1903,-0.23,-0.05,-0.22,-0.4,-0.39,-0.42,-0.35,-0.45,-0.49,-0.48,-0.42,-0.5,-0.37,-0.36,-0.23,-0.34,-0.4,-0.46
1904,-0.63,-0.57,-0.48,-0.5,-0.51,-0.48,-0.5,-0.48,-0.55,-0.38,-0.17,-0.32,-0.46,-0.48,-0.57,-0.5,-0.49,-0.36
1905,-0.34,-0.58,-0.21,-0.33,-0.28,-0.28,-0.26,-0.2,-0.18,-0.24,-0.06,-0.12,-0.26,-0.27,-0.41,-0.27,-0.25,-0.16
1906,-0.27,-0.29,-0.18,-0.04,-0.25,-0.19,-0.22,-0.19,-0.28,-0.19,-0.37,-0.14,-0.22,-0.22,-0.23,-0.16,-0.2,-0.28
1907,-0.42,-0.5,-0.27,-0.36,-0.46,-0.41,-0.34,-0.33,-0.34,-0.22,-0.45,-0.46,-0.38,-0.35,-0.36,-0.36,-0.36,-0.34
1908,-0.44,-0.32,-0.55,-0.44,-0.37,-0.38,-0.35,-0.45,-0.35,-0.43,-0.51,-0.48,-0.42,-0.42,-0.4,-0.45,-0.39,-0.43
1909,-0.72,-0.45,-0.53,-0.58,-0.54,-0.51,-0.44,-0.33,-0.38,-0.39,-0.31,-0.56,-0.48,-0.47,-0.55,-0.55,-0.43,-0.36
1910,-0.41,-0.4,-0.5,-0.41,-0.33,-0.38,-0.33,-0.36,-0.38,-0.4,-0.54,-0.66,-0.43,-0.42,-0.46,-0.42,-0.36,-0.44
1911,-0.62,-0.57,-0.61,-0.53,-0.51,-0.5,-0.41,-0.43,-0.4,-0.26,-0.2,-0.21,-0.44,-0.48,-0.62,-0.55,-0.45,-0.29
1912,-0.24,-0.14,-0.37,-0.17,-0.2,-0.23,-0.42,-0.54,-0.59,-0.57,-0.38,-0.43,-0.36,-0.34,-0.2,-0.25,-0.4,-0.51
1913,-0.4,-0.45,-0.42,-0.39,-0.43,-0.45,-0.36,-0.34,-0.34,-0.32,-0.19,-0.02,-0.34,-0.38,-0.42,-0.42,-0.38,-0.29
1914,0.05,-0.09,-0.24,-0.29,-0.21,-0.25,-0.23,-0.16,-0.17,-0.03,-0.15,-0.04,-0.15,-0.15,-0.02,-0.25,-0.21,-0.12
1915,-0.2,-0.03,-0.1,0.07,-0.06,-0.22,-0.12,-0.22,-0.21,-0.24,-0.13,-0.22,-0.14,-0.13,-0.09,-0.03,-0.19,-0.19
1916,-0.12,-0.14,-0.28,-0.3,-0.34,-0.5,-0.37,-0.29,-0.37,-0.33,-0.46,-0.82,-0.36,-0.31,-0.16,-0.31,-0.38,-0.39
1917,-0.58,-0.63,-0.64,-0.55,-0.55,-0.44,-0.25,-0.22,-0.23,-0.44,-0.33,-0.67,-0.46,-0.47,-0.68,-0.58,-0.3,-0.33
1918,-0.47,-0.33,-0.24,-0.43,-0.42,-0.36,-0.31,-0.31,-0.17,-0.06,-0.11,-0.29,-0.29,-0.33,-0.49,-0.37,-0.33,-0.11
1919,-0.2,-0.24,-0.21,-0.12,-0.28,-0.36,-0.29,-0.33,-0.25,-0.2,-0.41,-0.42,-0.28,-0.27,-0.24,-0.2,-0.33,-0.29
1920,-0.24,-0.26,-0.12,-0.24,-0.27,-0.36,-0.3,-0.26,-0.22,-0.26,-0.27,-0.46,-0.27,-0.27,-0.31,-0.21,-0.31,-0.25
1921,-0.04,-0.17,-0.23,-0.3,-0.3,-0.27,-0.15,-0.26,-0.19,-0.04,-0.13,-0.17,-0.19,-0.21,-0.23,-0.28,-0.23,-0.12
1922,-0.33,-0.44,-0.15,-0.23,-0.34,-0.31,-0.27,-0.33,-0.36,-0.33,-0.15,-0.19,-0.29,-0.28,-0.32,-0.24,-0.3,-0.28
1923,-0.27,-0.39,-0.34,-0.41,-0.34,-0.3,-0.31,-0.33,-0.31,-0.14,-0.03,-0.04,-0.27,-0.28,-0.28,-0.36,-0.31,-0.16
1924,-0.23,-0.24,-0.08,-0.31,-0.18,-0.26,-0.29,-0.36,-0.32,-0.35,-0.21,-0.43,-0.27,-0.24,-0.17,-0.19,-0.3,-0.3
1925,-0.39,-0.4,-0.28,-0.25,-0.29,-0.32,-0.26,-0.2,-0.2,-0.17,0.05,0.06,-0.22,-0.26,-0.41,-0.27,-0.26,-0.11
1926,0.21,0.03,0.11,-0.12,-0.24,-0.26,-0.28,-0.13,-0.14,-0.11,-0.06,-0.29,-0.11,-0.08,0.1,-0.08,-0.22,-0.11
1927,-0.27,-0.18,-0.38,-0.3,-0.25,-0.27,-0.18,-0.24,-0.13,-0.01,-0.05,-0.33,-0.22,-0.21,-0.25,-0.31,-0.23,-0.06
1928,-0.02,-0.09,-0.25,-0.28,-0.3,-0.39,-0.19,-0.23,-0.22,-0.19,-0.09,-0.17,-0.2,-0.21,-0.15,-0.28,-0.27,-0.17
1929,-0.45,-0.59,-0.33,-0.42,-0.38,-0.44,-0.37,-0.33,-0.26,-0.14,-0.11,-0.54,-0.36,-0.33,-0.4,-0.37,-0.38,-0.17
1930,-0.29,-0.26,-0.11,-0.24,-0.24,-0.22,-0.21,-0.15,-0.15,-0.12,0.18,-0.05,-0.16,-0.2,-0.37,-0.2,-0.19,-0.03
1931,-0.1,-0.21,-0.1,-0.22,-0.19,-0.08,-0.04,-0.04,-0.07,0.05,-0.06,-0.05,-0.09,-0.09,-0.12,-0.17,-0.05,-0.02
1932,0.16,-0.17,-0.18,-0.05,-0.17,-0.29,-0.24,-0.22,-0.1,-0.09,-0.27,-0.26,-0.16,-0.14,-0.02,-0.13,-0.25,-0.15
1933,-0.23,-0.29,-0.29,-0.24,-0.29,-0.34,-0.21,-0.24,-0.29,-0.25,-0.3,-0.44,-0.28,-0.27,-0.26,-0.27,-0.26,-0.28
1934,-0.21,-0.02,-0.29,-0.3,-0.09,-0.15,-0.1,-0.12,-0.15,-0.06,0.04,-0.02,-0.12,-0.16,-0.22,-0.23,-0.12,-0.06
1935,-0.33,0.14,-0.14,-0.36,-0.29,-0.27,-0.21,-0.22,-0.21,-0.06,-0.26,-0.17,-0.2,-0.18,-0.07,-0.26,-0.23,-0.17
1936,-0.27,-0.38,-0.21,-0.2,-0.16,-0.22,-0.09,-0.13,-0.09,-0.03,0.02,0,-0.15,-0.16,-0.27,-0.19,-0.15,-0.03
1937,-0.07,0.03,-0.2,-0.15,-0.05,-0.05,-0.03,0.01,0.09,0.09,0.09,-0.07,-0.03,-0.02,-0.01,-0.14,-0.02,0.09
1938,0.08,0.04,0.1,0.06,-0.09,-0.17,-0.09,-0.05,0.01,0.15,0.08,-0.12,0,0,0.02,0.02,-0.1,0.08
1939,-0.05,-0.06,-0.17,-0.09,-0.04,-0.07,-0.05,-0.06,-0.07,-0.03,0.07,0.44,-0.01,-0.06,-0.08,-0.1,-0.06,-0.01
1940,0,0.08,0.09,0.17,0.11,0.11,0.12,0.07,0.15,0.11,0.17,0.32,0.13,0.14,0.17,0.13,0.1,0.14
1941,0.18,0.31,0.1,0.16,0.17,0.13,0.22,0.15,0.02,0.35,0.23,0.22,0.19,0.19,0.27,0.14,0.16,0.2
1942,0.29,0.02,0.05,0.09,0.11,0.05,0.01,-0.04,-0.03,0.02,0.1,0.13,0.07,0.07,0.18,0.09,0.01,0.03
1943,-0.01,0.17,-0.03,0.11,0.07,-0.05,0.08,0.01,0.05,0.23,0.2,0.23,0.09,0.08,0.1,0.05,0.01,0.16
1944,0.36,0.24,0.26,0.19,0.19,0.15,0.18,0.18,0.28,0.26,0.11,0.04,0.2,0.22,0.28,0.21,0.17,0.22
1945,0.1,0,0.06,0.19,0.06,0,0.04,0.26,0.2,0.18,0.07,-0.07,0.09,0.1,0.04,0.1,0.1,0.15
1946,0.15,0.02,0.01,0.05,-0.07,-0.21,-0.12,-0.2,-0.08,-0.08,-0.05,-0.31,-0.07,-0.05,0.04,0,-0.18,-0.07
1947,-0.07,-0.08,0.06,0.06,-0.02,-0.02,-0.04,-0.07,-0.13,0.07,0.03,-0.13,-0.03,-0.04,-0.15,0.04,-0.04,-0.01
1948,0.06,-0.15,-0.24,-0.12,-0.01,-0.05,-0.11,-0.12,-0.15,-0.05,-0.12,-0.24,-0.11,-0.1,-0.07,-0.12,-0.09,-0.11
1949,0.06,-0.14,-0.02,-0.11,-0.1,-0.27,-0.13,-0.13,-0.15,-0.07,-0.1,-0.18,-0.11,-0.12,-0.11,-0.08,-0.18,-0.1
1950,-0.26,-0.27,-0.08,-0.21,-0.11,-0.05,-0.09,-0.16,-0.12,-0.2,-0.34,-0.21,-0.17,-0.17,-0.24,-0.13,-0.1,-0.22
1951,-0.34,-0.42,-0.2,-0.14,0,-0.07,-0.01,0.06,0.05,0.08,-0.01,0.16,-0.07,-0.1,-0.32,-0.11,-0.01,0.04
1952,0.11,0.11,-0.08,0.03,-0.03,-0.03,0.04,0.05,0.07,0,-0.13,-0.02,0.01,0.03,0.13,-0.02,0.02,-0.02
1953,0.07,0.15,0.11,0.19,0.12,0.12,0.01,0.05,0.04,0.08,-0.03,0.05,0.08,0.07,0.07,0.14,0.06,0.03
1954,-0.24,-0.1,-0.14,-0.14,-0.2,-0.19,-0.19,-0.17,-0.1,-0.02,0.08,-0.18,-0.13,-0.11,-0.1,-0.16,-0.18,-0.01
1955,0.13,-0.16,-0.32,-0.22,-0.2,-0.14,-0.11,0.02,-0.11,-0.05,-0.25,-0.28,-0.14,-0.13,-0.07,-0.25,-0.08,-0.14
1956,-0.13,-0.24,-0.21,-0.27,-0.29,-0.16,-0.09,-0.26,-0.19,-0.23,-0.15,-0.06,-0.19,-0.21,-0.22,-0.26,-0.17,-0.19
1957,-0.09,-0.03,-0.05,0,0.09,0.16,0.02,0.15,0.09,0.01,0.08,0.15,0.05,0.03,-0.06,0.01,0.11,0.06
1958,0.39,0.22,0.08,0.01,0.06,-0.09,0.05,-0.05,-0.02,0.04,0.02,0.01,0.06,0.07,0.25,0.05,-0.03,0.01
1959,0.08,0.07,0.18,0.16,0.04,0.03,0.03,-0.01,-0.06,-0.07,-0.08,-0.01,0.03,0.03,0.05,0.13,0.02,-0.07
1960,0,0.13,-0.35,-0.15,-0.08,-0.04,-0.04,0.02,0.07,0.06,-0.11,0.19,-0.03,-0.04,0.04,-0.19,-0.02,0
1961,0.07,0.19,0.09,0.13,0.12,0.11,0.01,0.01,0.09,0,0.03,-0.16,0.06,0.09,0.15,0.11,0.04,0.04
1962,0.05,0.15,0.1,0.05,-0.06,0.03,0.02,-0.01,0,0.01,0.06,-0.02,0.03,0.02,0.01,0.03,0.01,0.02
1963,-0.03,0.18,-0.14,-0.07,-0.06,0.05,0.06,0.22,0.18,0.15,0.15,-0.03,0.05,0.05,0.04,-0.09,0.11,0.16
1964,-0.09,-0.1,-0.21,-0.32,-0.25,-0.04,-0.04,-0.22,-0.29,-0.31,-0.21,-0.3,-0.2,-0.18,-0.07,-0.26,-0.1,-0.27
1965,-0.08,-0.17,-0.13,-0.19,-0.12,-0.08,-0.13,-0.04,-0.15,-0.05,-0.06,-0.08,-0.11,-0.13,-0.18,-0.15,-0.09,-0.09
1966,-0.19,-0.04,0.04,-0.13,-0.12,0.01,0.08,-0.08,-0.03,-0.16,-0.01,-0.03,-0.06,-0.06,-0.1,-0.07,0,-0.07
1967,-0.07,-0.2,0.05,-0.05,0.12,-0.08,0.02,0.01,-0.06,0.09,-0.05,-0.05,-0.02,-0.02,-0.1,0.04,-0.02,-0.01
1968,-0.25,-0.14,0.2,-0.06,-0.14,-0.09,-0.13,-0.09,-0.19,0.09,-0.05,-0.15,-0.08,-0.07,-0.15,0,-0.1,-0.05
1969,-0.11,-0.18,0.01,0.17,0.18,0.03,-0.04,0.03,0.08,0.09,0.12,0.24,0.05,0.02,-0.14,0.12,0.01,0.1
1970,0.08,0.22,0.06,0.05,-0.04,-0.03,0.01,-0.1,0.12,0.03,0.02,-0.12,0.02,0.06,0.18,0.02,-0.04,0.05
1971,-0.03,-0.16,-0.18,-0.07,-0.05,-0.17,-0.08,-0.01,-0.06,-0.04,-0.07,-0.09,-0.08,-0.09,-0.1,-0.1,-0.08,-0.06
1972,-0.22,-0.18,0.02,0,-0.03,0.04,0.01,0.16,0.02,0.08,0.02,0.18,0.01,-0.01,-0.16,0,0.07,0.04
1973,0.29,0.32,0.29,0.27,0.23,0.19,0.13,0.05,0.09,0.1,0.05,-0.07,0.16,0.18,0.26,0.26,0.12,0.08
1974,-0.1,-0.27,-0.05,-0.11,-0.04,-0.05,-0.03,0.11,-0.07,-0.06,-0.08,-0.08,-0.07,-0.07,-0.14,-0.07,0.01,-0.07
1975,0.1,0.08,0.13,0.04,0.16,-0.01,-0.01,-0.17,-0.03,-0.11,-0.17,-0.17,-0.01,-0.01,0.03,0.11,-0.06,-0.1
1976,-0.03,-0.06,-0.21,-0.07,-0.2,-0.12,-0.1,-0.12,-0.07,-0.24,-0.06,0.11,-0.1,-0.12,-0.09,-0.16,-0.11,-0.12
1977,0.18,0.22,0.24,0.26,0.33,0.27,0.2,0.18,0.02,0.03,0.16,0.03,0.18,0.18,0.17,0.28,0.22,0.07
1978,0.06,0.1,0.19,0.17,0.09,-0.01,0.04,-0.13,0.06,0.03,0.14,0.08,0.07,0.06,0.06,0.15,-0.04,0.08
1979,0.08,-0.1,0.19,0.15,0.04,0.14,0.04,0.17,0.25,0.26,0.28,0.48,0.16,0.13,0.02,0.13,0.12,0.27
1980,0.3,0.4,0.3,0.3,0.35,0.21,0.22,0.19,0.2,0.13,0.3,0.22,0.26,0.28,0.39,0.32,0.2,0.21
1981,0.53,0.42,0.48,0.32,0.25,0.29,0.32,0.35,0.15,0.12,0.23,0.41,0.32,0.31,0.39,0.35,0.32,0.17
1982,0.05,0.16,0.03,0.15,0.18,0.06,0.15,0.04,0.14,0.13,0.18,0.43,0.14,0.14,0.21,0.12,0.08,0.15
1983,0.53,0.43,0.42,0.28,0.34,0.23,0.18,0.36,0.37,0.17,0.3,0.17,0.31,0.34,0.46,0.34,0.25,0.28
1984,0.31,0.14,0.26,0.06,0.33,0.02,0.19,0.2,0.21,0.14,0.07,-0.04,0.16,0.18,0.21,0.22,0.14,0.14
1985,0.22,-0.04,0.18,0.12,0.15,0.15,0.04,0.17,0.13,0.12,0.05,0.14,0.12,0.1,0.05,0.15,0.12,0.1
1986,0.26,0.37,0.3,0.22,0.21,0.12,0.11,0.16,0.03,0.16,0.1,0.13,0.18,0.18,0.26,0.25,0.13,0.1
1987,0.32,0.43,0.19,0.25,0.25,0.35,0.41,0.25,0.35,0.33,0.29,0.46,0.32,0.3,0.29,0.23,0.33,0.32
1988,0.57,0.45,0.52,0.43,0.44,0.4,0.33,0.39,0.37,0.38,0.12,0.29,0.39,0.4,0.49,0.46,0.37,0.29
1989,0.13,0.3,0.36,0.29,0.18,0.15,0.34,0.33,0.34,0.29,0.2,0.37,0.27,0.27,0.24,0.28,0.28,0.28
1990,0.41,0.44,0.8,0.57,0.46,0.38,0.46,0.34,0.23,0.45,0.47,0.41,0.45,0.45,0.41,0.61,0.39,0.38
1991,0.43,0.5,0.36,0.51,0.34,0.53,0.47,0.39,0.44,0.29,0.3,0.32,0.41,0.41,0.45,0.4,0.47,0.34
1992,0.47,0.4,0.48,0.27,0.31,0.26,0.09,0.08,-0.01,0.06,0.03,0.21,0.22,0.23,0.4,0.36,0.14,0.03
1993,0.35,0.37,0.36,0.28,0.29,0.23,0.25,0.11,0.12,0.23,0.04,0.18,0.23,0.24,0.31,0.31,0.2,0.13
1994,0.26,0.03,0.29,0.42,0.28,0.44,0.3,0.22,0.32,0.42,0.44,0.38,0.32,0.3,0.16,0.33,0.32,0.4
1995,0.52,0.79,0.47,0.47,0.27,0.43,0.45,0.45,0.34,0.47,0.44,0.26,0.45,0.46,0.57,0.4,0.45,0.42
1996,0.24,0.46,0.33,0.32,0.28,0.25,0.37,0.49,0.25,0.2,0.39,0.37,0.33,0.32,0.32,0.31,0.37,0.28
1997,0.3,0.41,0.52,0.34,0.34,0.54,0.33,0.42,0.52,0.61,0.64,0.59,0.46,0.45,0.36,0.4,0.43,0.59
1998,0.59,0.88,0.63,0.64,0.68,0.77,0.66,0.66,0.42,0.41,0.43,0.55,0.61,0.61,0.69,0.65,0.7,0.42
1999,0.49,0.64,0.32,0.32,0.27,0.36,0.38,0.32,0.39,0.34,0.37,0.42,0.39,0.4,0.56,0.3,0.35,0.37
2000,0.25,0.56,0.55,0.56,0.36,0.4,0.39,0.42,0.38,0.26,0.31,0.29,0.39,0.41,0.41,0.49,0.4,0.32
2001,0.46,0.44,0.56,0.51,0.58,0.52,0.59,0.49,0.52,0.5,0.72,0.56,0.54,0.51,0.39,0.55,0.53,0.58
2002,0.77,0.79,0.88,0.58,0.64,0.53,0.61,0.53,0.63,0.54,0.59,0.44,0.63,0.64,0.71,0.7,0.56,0.59
2003,0.75,0.58,0.6,0.55,0.61,0.48,0.58,0.65,0.62,0.73,0.53,0.75,0.62,0.59,0.59,0.58,0.57,0.63
2004,0.58,0.73,0.63,0.61,0.38,0.44,0.26,0.46,0.5,0.6,0.73,0.51,0.54,0.56,0.69,0.54,0.39,0.61
2005,0.74,0.6,0.74,0.68,0.63,0.64,0.62,0.6,0.71,0.75,0.73,0.68,0.68,0.66,0.62,0.68,0.62,0.73
2006,0.56,0.73,0.63,0.48,0.49,0.66,0.54,0.7,0.65,0.7,0.74,0.79,0.64,0.63,0.66,0.53,0.63,0.69
2007,1.02,0.7,0.73,0.76,0.69,0.61,0.6,0.6,0.6,0.58,0.59,0.5,0.67,0.69,0.84,0.73,0.6,0.59
2008,0.3,0.38,0.75,0.54,0.49,0.49,0.6,0.47,0.61,0.67,0.69,0.54,0.54,0.54,0.39,0.59,0.52,0.66
2009,0.65,0.53,0.54,0.61,0.65,0.65,0.74,0.68,0.72,0.65,0.79,0.68,0.66,0.65,0.57,0.6,0.69,0.72
2010,0.75,0.84,0.92,0.85,0.75,0.67,0.63,0.67,0.63,0.71,0.81,0.45,0.72,0.74,0.75,0.84,0.66,0.72
2011,0.51,0.48,0.66,0.65,0.53,0.62,0.7,0.75,0.57,0.66,0.58,0.6,0.61,0.6,0.48,0.61,0.69,0.6
2012,0.49,0.49,0.58,0.73,0.79,0.65,0.58,0.65,0.72,0.79,0.79,0.53,0.65,0.65,0.53,0.7,0.63,0.77
2013,0.7,0.63,0.68,0.54,0.61,0.69,0.6,0.7,0.77,0.69,0.84,0.7,0.68,0.66,0.62,0.61,0.66,0.77
2014,0.76,0.55,0.78,0.8,0.86,0.67,0.58,0.83,0.88,0.81,0.67,0.79,0.75,0.74,0.67,0.81,0.69,0.78
2015,0.85,0.9,0.96,0.76,0.8,0.81,0.73,0.8,0.85,1.1,1.06,1.16,0.9,0.87,0.85,0.84,0.78,1
2016,1.17,1.37,1.36,1.11,0.95,0.8,0.85,1.02,0.9,0.89,0.91,0.86,1.02,1.04,1.23,1.14,0.89,0.9
2017,1.02,1.14,1.16,0.94,0.91,0.72,0.82,0.87,0.77,0.9,0.88,0.93,0.92,0.92,1.01,1.01,0.8,0.85
2018,0.81,0.85,0.89,0.89,0.83,0.78,0.83,0.77,0.8,1.01,0.82,0.92,0.85,0.85,0.86,0.87,0.79,0.88
2019,0.93,0.95,1.18,1.01,0.85,0.91,0.94,0.95,0.92,1.02,0.99,1.1,0.98,0.96,0.93,1.01,0.93,0.98
2020,1.16,1.25,1.17,1.13,1.02,0.92,0.91,0.88,0.99,0.89,1.11,0.81,1.02,1.04,1.17,1.11,0.9,1
2021,0.81,0.64,0.89,0.76,0.79,0.85,0.92,0.82,0.92,0.98,0.94,***,***,0.85,0.76,0.81,0.86,0.95
